timestamp,Temperature,Precipitation ,WindSpeed,Basel Wind Direction,Rainfall
,11.620529,0,1.7870656,206.56505,1.1
1,11.400529,0,2.1477854,209.74489,0
2,10.940529,0,1.6204481,189.46233,0
3,10.610529,0,1.332,143.1301,0.7
4,10.030529,0,1.7057923,141.34018,0
5,9.440529,0,1.506986,135,3
6,8.980529,0,1.332,143.1301,0
7,8.700529,0,1.506986,135,0.5
8,8.3005295,0,2.1477854,150.25511,0
9,8.450529,0,2.5132127,122.00538,3.5
10,10.3005295,0,4.0313635,97.59464,0
11,12.8005295,0,4.5288,89.99999,2.1
12,14.950529,0,3.700947,59.74356,0
13,16.39053,0,4.066419,58.392494,0
14,17.840528,0,5.848678,59.93141,0
15,18.580528,0,5.1725526,34.508514,0.1
16,18.87053,0,5.068606,3.0127716,0
17,18.690529,0,7.2713056,351.57306,0
18,18.260529,0,6.9723544,353.41806,0.4
19,17.580528,0,5.1450386,338.7495,0
20,16.64053,0,5.485512,330.94543,0
21,15.610529,0,4.5288,331.92752,3
22,14.360529,0,2.8318708,311.1859,0
23,13.820529,0,2.6772869,264.28943,0