country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,39700000
Angola,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,27900000
Australia,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,23900000
Bahamas,325000,331000,337000,344000,350000,355000,360000,364000,367000,371000,374000
Belgium,10500000,10600000,10700000,10800000,10900000,10900000,11000000,11100000,11200000,11200000,11300000
Brazil,186000000,188000000,190000000,192000000,194000000,196000000,198000000,199000000,201000000,203000000,204000000
Canada,32200000,32500000,32900000,33300000,33700000,34100000,34500000,34900000,35300000,35700000,36000000
China,1330000000,1340000000,1350000000,1350000000,1360000000,1370000000,1380000000,1380000000,1390000000,1400000000,1410000000
Colombia,42600000,43200000,43700000,44300000,44800000,45200000,45700000,46100000,46500000,47000000,47500000
Cyprus,1030000,1050000,1060000,1080000,1100000,1110000,1120000,1140000,1140000,1150000,1160000
Egypt,75500000,76900000,78200000,79600000,81100000,82800000,84500000,86400000,88400000,90400000,92400000
Ethiopia,76300000,78500000,80700000,82900000,85200000,87600000,90100000,92700000,95400000,98100000,101000000
France,61100000,61500000,61900000,62200000,62500000,62900000,63200000,63600000,63900000,64200000,64500000
Germany,81600000,81500000,81300000,81100000,80900000,80800000,80900000,81000000,81200000,81500000,81800000
Hungary,10100000,10100000,10000000,9990000,9960000,9930000,9900000,9860000,9830000,9800000,9780000
India,1150000000,1170000000,1180000000,1200000000,1220000000,1230000000,1250000000,1270000000,1280000000,1300000000,1310000000
Iraq,26900000,27400000,27900000,28400000,29000000,29700000,30700000,31900000,33200000,34400000,35600000
Italy,58300000,58500000,58700000,58900000,59100000,59300000,59600000,59900000,60200000,60400000,60600000
Japan,128000000,128000000,128000000,129000000,129000000,129000000,128000000,128000000,128000000,128000000,128000000
Kenya,36600000,37600000,38700000,39800000,40900000,42000000,43200000,44300000,45500000,46700000,47900000
Lesotho,2000000,1990000,1990000,1990000,1990000,2000000,2000000,2010000,2030000,2040000,2060000
Madagascar,18300000,18900000,19400000,20000000,20600000,21200000,21700000,22300000,23000000,23600000,24200000
Malaysia,25700000,26200000,26700000,27200000,27700000,28200000,28700000,29100000,29500000,29900000,30300000
Zimbabwe,12100000,12200000,12300000,12400000,12500000,12700000,12900000,13100000,13400000,13600000,13800000
Zambia,11900000,12200000,12500000,12800000,13200000,13600000,14000000,14500000,14900000,15400000,15900000
United States,295000000,298000000,301000000,303000000,306000000,309000000,312000000,314000000,316000000,319000000,321000000
United Kingdom,60300000,60800000,61500000,62100000,62800000,63500000,64000000,64500000,65000000,65400000,65900000
Uganda,27700000,28600000,29500000,30400000,31400000,32400000,33500000,34600000,35700000,36900000,38200000
Turkey,67900000,68800000,69600000,70400000,71300000,72300000,73400000,74700000,75900000,77200000,78500000
Tunisia,10100000,10200000,10300000,10400000,10500000,10600000,10700000,10800000,11000000,11100000,11200000
Thailand,65400000,65800000,66200000,66500000,66900000,67200000,67500000,67800000,68100000,68400000,68700000
Tanzania,38500000,39500000,40700000,41900000,43100000,44300000,45700000,47100000,48500000,50000000,51500000
Syria,18400000,19100000,19900000,20700000,21200000,21400000,21100000,20400000,19600000,18700000,18000000
Swaziland,1030000,1040000,1040000,1050000,1060000,1060000,1070000,1080000,1090000,1100000,1100000
Spain,44000000,44700000,45400000,46100000,46600000,46900000,47100000,47100000,46900000,46800000,46700000
South Africa,47900000,48500000,49100000,49800000,50500000,51200000,52000000,52800000,53700000,54500000,55400000
Somalia,10400000,10800000,11100000,11400000,11700000,12000000,12400000,12700000,13100000,13400000,13800000
Singapore,4270000,4400000,4580000,4780000,4970000,5130000,5260000,5370000,5450000,5530000,5590000
Rwanda,8840000,9040000,9270000,9520000,9780000,10000000,10300000,10500000,10800000,11100000,11400000
Russia,144000000,143000000,143000000,143000000,143000000,143000000,144000000,144000000,144000000,145000000,145000000
Qatar,865000,1020000,1220000,1440000,1650000,1860000,2040000,2200000,2340000,2460000,2570000
Portugal,10500000,10500000,10600000,10600000,10600000,10600000,10600000,10500000,10500000,10400000,10400000
Philippines,86300000,87900000,89400000,90900000,92400000,94000000,95600000,97200000,98900000,101000000,102000000
Pakistan,160000000,164000000,168000000,172000000,176000000,179000000,183000000,187000000,191000000,195000000,199000000
North Korea,23900000,24100000,24200000,24300000,24400000,24500000,24700000,24800000,24900000,25100000,25200000
Nigeria,139000000,143000000,146000000,150000000,154000000,159000000,163000000,167000000,172000000,176000000,181000000
New Zealand,4140000,4190000,4230000,4280000,4320000,4370000,4420000,4470000,4520000,4570000,4610000
Netherlands,16400000,16400000,16500000,16600000,16600000,16700000,16700000,16800000,16800000,16900000,16900000
Morocco,30500000,30800000,31200000,31500000,31900000,32300000,32800000,33200000,33700000,34200000,34700000